evidence_id,name_token,normalized_token,proposed_association,association_type,evidence_type,evidence_strength,evidence_statement,source_id,source_location,source_quote_or_excerpt,interpretation_note,alternative_associations,position_scope,reviewer,review_status,date_added,notes
E9B-JUMA-004,JUMA,JUMA,,unresolved,dataset_observation,weak,Frequency observation only - requires documentary verification,SRC_STAGE9B_RESEARCH,not_verified,,Dataset frequency is descriptive only,,any_position,,unresolved,2026-09-03,Stage 9B research - JUMA requires documentary evidence search
E9B-OUMA-005,OUMA,OUMA,,unresolved,dataset_observation,weak,Frequency observation only - requires documentary verification,SRC_STAGE9B_RESEARCH,not_verified,,Dataset frequency is descriptive only,,any_position,,unresolved,2026-09-03,Stage 9B research - OUMA requires documentary evidence search
E9B-MUTUKU-006,MUTUKU,MUTUKU,,unresolved,dataset_observation,weak,Frequency observation only - requires documentary verification,SRC_STAGE9B_RESEARCH,not_verified,,Dataset frequency is descriptive only,,any_position,,unresolved,2026-09-03,Stage 9B research - MUTUKU requires documentary evidence search
E9B-WANJIRU-007,WANJIRU,WANJIRU,,unresolved,dataset_observation,weak,Frequency observation only - requires documentary verification,SRC_STAGE9B_RESEARCH,not_verified,,Dataset frequency is descriptive only,,any_position,,unresolved,2026-09-03,Stage 9B research - WANJIRU requires documentary evidence search
E9B-NDUNGU-008,NDUNGU,NDUNGU,,unresolved,dataset_observation,weak,Frequency observation only - requires documentary verification,SRC_STAGE9B_RESEARCH,not_verified,,Dataset frequency is descriptive only,,any_position,,unresolved,2026-09-03,Stage 9B research - NDUNGU requires documentary evidence search
E9B-MUSYOKA-009,MUSYOKA,MUSYOKA,,unresolved,dataset_observation,weak,Frequency observation only - requires documentary verification,SRC_STAGE9B_RESEARCH,not_verified,,Dataset frequency is descriptive only,,any_position,,unresolved,2026-09-03,Stage 9B research - MUSYOKA requires documentary evidence search
E9B-KARANJA-010,KARANJA,KARANJA,,unresolved,dataset_observation,weak,Frequency observation only - requires documentary verification,SRC_STAGE9B_RESEARCH,not_verified,,Dataset frequency is descriptive only,,any_position,,unresolved,2026-09-03,Stage 9B research - KARANJA requires documentary evidence search
E9B-IRUNGU-011,IRUNGU,IRUNGU,,unresolved,dataset_observation,weak,Frequency observation only - requires documentary verification,SRC_STAGE9B_RESEARCH,not_verified,,Dataset frequency is descriptive only,,any_position,,unresolved,2026-09-03,Stage 9B research - IRUNGU requires documentary evidence search
E9B-NJERI-012,NJERI,NJERI,,unresolved,dataset_observation,weak,Frequency observation only - requires documentary verification,SRC_STAGE9B_RESEARCH,not_verified,,Dataset frequency is descriptive only,,any_position,,unresolved,2026-09-03,Stage 9B research - NJERI requires documentary evidence search
E9B-WAMBUI-013,WAMBUI,WAMBUI,,unresolved,dataset_observation,weak,Frequency observation only - requires documentary verification,SRC_STAGE9B_RESEARCH,not_verified,,Dataset frequency is descriptive only,,any_position,,unresolved,2026-09-03,Stage 9B research - WAMBUI requires documentary evidence search
E9B-WANJIKU-014,WANJIKU,WANJIKU,,unresolved,dataset_observation,weak,Frequency observation only - requires documentary verification,SRC_STAGE9B_RESEARCH,not_verified,,Dataset frequency is descriptive only,,any_position,,unresolved,2026-09-03,Stage 9B research - WANJIKU requires documentary evidence search
E9B-CHEGE-015,CHEGE,CHEGE,,unresolved,dataset_observation,weak,Frequency observation only - requires documentary verification,SRC_STAGE9B_RESEARCH,not_verified,,Dataset frequency is descriptive only,,any_position,,unresolved,2026-09-03,Stage 9B research - CHEGE requires documentary evidence search
E9B-WAWERU-016,WAWERU,WAWERU,,unresolved,dataset_observation,weak,Frequency observation only - requires documentary verification,SRC_STAGE9B_RESEARCH,not_verified,,Dataset frequency is descriptive only,,any_position,,unresolved,2026-09-03,Stage 9B research - WAWERU requires documentary evidence search
E9B-OWINO-017,OWINO,OWINO,,unresolved,dataset_observation,weak,Frequency observation only - requires documentary verification,SRC_STAGE9B_RESEARCH,not_verified,,Dataset frequency is descriptive only,,any_position,,unresolved,2026-09-03,Stage 9B research - OWINO requires documentary evidence search
E9B-ODUOR-018,ODUOR,ODUOR,,unresolved,dataset_observation,weak,Frequency observation only - requires documentary verification,SRC_STAGE9B_RESEARCH,not_verified,,Dataset frequency is descriptive only,,any_position,,unresolved,2026-09-03,Stage 9B research - ODUOR requires documentary evidence search
E9B-KIOKO-019,KIOKO,KIOKO,,unresolved,dataset_observation,weak,Frequency observation only - requires documentary verification,SRC_STAGE9B_RESEARCH,not_verified,,Dataset frequency is descriptive only,,any_position,,unresolved,2026-09-03,Stage 9B research - KIOKO requires documentary evidence search
E9B-MUTUA-020,MUTUA,MUTUA,,unresolved,dataset_observation,weak,Frequency observation only - requires documentary verification,SRC_STAGE9B_RESEARCH,not_verified,,Dataset frequency is descriptive only,,any_position,,unresolved,2026-09-03,Stage 9B research - MUTUA requires documentary evidence search
E9B-KIMANI-021,KIMANI,KIMANI,,unresolved,dataset_observation,weak,Frequency observation only - requires documentary verification,SRC_STAGE9B_RESEARCH,not_verified,,Dataset frequency is descriptive only,,any_position,,unresolved,2026-09-03,Stage 9B research - KIMANI requires documentary evidence search
